Country Name,Country Code,Series Name,Series Code,2018 [YR2018],2019 [YR2019]
Afghanistan,AFG,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,0.626149149168983,2.30237251516819
Algeria,DZA,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,4.26999020467084,1.95176821052892
Albania,ALB,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2.02805963071136,1.41109078954246
American Samoa,ASM,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,..,..
Argentina,ARG,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,..,..
Angola,AGO,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,19.6289379701521,17.080954143438
Andorra,AND,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,..,..
Antigua and Barbuda,ATG,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,1.20715793367008,1.43135598182984
Armenia,ARM,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2.52023382001638,1.44344660770698
Australia,AUS,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,1.91140094445691,1.61076787290379
Azerbaijan,AZE,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2.26854690373999,2.61057182799215
Aruba,ABW,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,3.62604141352961,4.25746204335428
Austria,AUT,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,1.9983798142954,1.53089564152644
"Bahamas, The",BHS,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2.26586346678736,2.49123527368046
Bangladesh,BGD,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,5.54362139486476,5.59199639930629
Bahrain,BHR,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2.08766938046978,1.00582004702137
Barbados,BRB,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,3.67381410406801,4.10028964518461
Belgium,BEL,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2.05316499865186,1.43681956996429
Belarus,BLR,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,4.87230220550684,5.59815595039854
Belize,BLZ,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,0.269982622646335,0.187069385181424
Bermuda,BMU,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,..,..
Bolivia,BOL,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2.27205987230155,1.83954504969026
Benin,BEN,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,0.919170717886054,0.732849371240975
Bhutan,BTN,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2.7239638618372,2.7264303738882
Bosnia and Herzegovina,BIH,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,..,..
Botswana,BWA,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,3.23801558947715,2.77286442863321
Brazil,BRA,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,3.66485028376729,3.73297621216894
British Virgin Islands,VGB,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,..,..
Bulgaria,BGR,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2.81454473824829,3.10372944796781
Brunei Darussalam,BRN,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,1.02505179290212,-0.390522069165529
Burundi,BDI,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,-2.81469807668465,-0.686772170797359
Burkina Faso,BFA,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,1.95594302672523,-3.2333893398333
Cabo Verde,CPV,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,1.25699566690509,1.10666674296063
Cambodia,KHM,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2.45908515380146,1.94257500833107
Cameroon,CMR,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,1.0688581131292,2.45280214062732
Canada,CAN,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2.26822567248103,1.94926902411593
Central African Republic,CAF,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,1.61215686991555,2.68537355266787
Channel Islands,CHI,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,..,..
China,CHN,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2.07479039965576,2.89923416358227
"Congo, Rep.",COG,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,1.15277896375523,2.20607305781525
Colombia,COL,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,3.24056932930569,3.52301932741447
Chile,CHL,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2.43488981353057,2.55754475703327
Chad,TCD,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,4.27462198610545,-0.971939175419317
Cayman Islands,CYM,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,..,..
Comoros,COM,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,..,..
Cote d'Ivoire,CIV,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,0.359409031380677,-1.10686343994188
"Congo, Dem. Rep.",COD,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,..,..
